参数1_文本,参数2_文本,参数3_文本,参数4_文本,参数5_文本,参数6_文本
,,【ps：新书来了！诸君，好久不见，见棺发财！】,毕竟，历经了域外战场三年征战，虽然他如今才十七岁，可眼界和阅历早和以往截然不同。,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“一夜之间，好像整个天河郡城都知道我‘诈尸还魂’了，明显有人故意散播消息……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“会是谁做的？”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜察觉到一丝反常，脑海下意识就想到一个人——
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,大嫂潘盈袖！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,直觉告诉他，此事哪怕不是大嫂亲自做的，也必然和她分不开关系。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“我倒要看看，大嫂你又想玩什么幺蛾子！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜心中自语。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“你们有什么资格评判我哥？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,石碑前，一个紫衣少女忽地开口，语气严厉。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“灵霜？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜认出，那紫衣少女正是他的堂妹陆灵霜。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,三年不见，当初那个揪着他衣角要糖吃的黄毛丫头，如今已出落得亭亭玉立，灵秀娇俏。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“什么时候，你们若能破掉石碑上任何一个记录，再对我陆夜哥指手画脚也不迟！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆灵霜指着那座九丈石碑，语声清冷如冰。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,附近那些少年少女支支吾吾，说不出话来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“这丫头的脾气也涨了不少嘛。不过，她说的石碑上的记录是什么？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜唇边泛起笑意，重新望向那座九丈石碑。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,旋即，他就怔住。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,那石碑上铭刻着的字迹，赫然都和他有关！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,记载着他曾在修行路上缔造的各种耀眼记录。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,诸如九岁那年，以考评第一的成绩进入天河学府修行。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,十一岁时，成为天河学府最耀眼的奇才，分别在文测和武比中独占鳌头，打破天河学府自开建以来的所有记录！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,十三岁时，通过苍州十三座城池统一考核，以苍州第一的成绩，名扬大乾天下。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,……类似的记录，足有十余条。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,显然，这座石碑是天河学府专门为他一人修建。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“没想到啊，学府竟然还曾为我勒碑立功，彰显教化！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜心生感触。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,对任何学子而言，能够得享如此表彰，自然是莫大的荣耀！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“什么修行记录，那都是以前的事情，如今的陆夜，已经和遭逢大难的陆家一样，自身难保了！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一个灰衣少年低声嘀咕了一句，显然很不服气。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“我也听父亲说了，陆家这次很可能将遭受覆灭之危。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“倾巢之下，岂有完卵，陆夜恐怕也……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,……一时间，各种议论声响起。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,那座石碑之前，陆灵霜眉宇间浮现阴霾，罕见地沉默了。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,她自然比谁都清楚，陆家如今的处境有多不堪。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜并未在意那些议论，正欲上前和陆灵霜相见，却忽地察觉到什么，抬眼望向远处。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一个黑袍青年从远处掠来，一跃而起，站在了那九丈石碑上。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“李教习！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,人群骚动，认出黑袍青年正是学府的教习之一，李拓。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜感觉有些眼熟，却一时没想出此人是谁。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“李教习，你这是要做什么？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆灵霜秀眉蹙起。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,那座石碑是学府为陆夜修建，可李拓却踩踏石碑之上，就像踩在陆家脸面上，让陆灵霜心中很不舒服。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“做什么？那你可得睁大眼睛瞧好了！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一身黑袍的李拓微微一笑，脚下蓦地发力。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,轰！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,九丈石碑，轰然碎裂。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,烟尘弥散中，李拓衣袍鼓荡，仪态潇洒地飘然落地，朗声道：
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“此石碑有碍观瞻，首席长老已亲自下令，命我前来将石碑移除！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,有碍观瞻？
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,众人错愕，面面相觑。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这个理由未免太牵强！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,须知，以前的天河学府，向来以培养出陆夜这样一位绝世奇才为荣。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,恨不能让天下人知道，陆夜是从天河学府中走出的学子！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,可现在，学府为陆夜修建的石碑，怎么就有碍观瞻了？
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“首席长老的命令？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆灵霜被激怒，握紧玉手，记载着陆夜荣誉的石碑被毁，让她受到莫大刺激。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,她咬牙道，“我明白了，眼见我陆家遭难，你们李家终于忍不住跳出来，想踩我陆家一脚，对吧？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,谁不知道，学府的首席长老李长峰，和李拓一样，同样来自天河郡城四大家族之一的李家？
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“错！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,李拓忍不住笑出来，“踩一脚哪够，你们陆家已注定将从天河郡城除名！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆灵霜正欲说什么。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,李拓蓦地上前，一把攥住她那雪白脖颈。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“奉首席长老之命，令我前来缉拿陆灵霜，谁敢阻挠，以学府律令问罪！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,说着，李拓如拖拽牲畜般，攥着陆灵霜的脖子朝远处行去，五指如钩，深陷皮肉，抓出血痕。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,少女身影踉跄，鞋子和衣袂被地面迸溅的雨水浸染，纵使尖叫挣扎，也是徒劳。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,那些少年少女惊慌失措，却不敢阻止，因为都已看出，教习李拓分明是冲着陆灵霜而来！,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“找死！”,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这一瞬，却有一道冷冽的声音骤然响起。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,比声音更快的，是一道黑色身影。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一袭玄衣割裂雨幕，伞面翻转如莲绽开，雨珠尚未落地，人影已掠过数十丈距离。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,砰！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,李拓眼前一花，顿觉整个胸腔如被一把巨锤轰砸，身影直接横飞出去，砸落数丈外地面，口中鲜血混着碎牙喷出，在雨中绽开猩红的花。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“谁？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,李拓嘶声怒叫，痛苦和惊怒让他面孔扭曲。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,附近众人下意识望过去。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,就见细雨蒙蒙中，一道挺拔修长的身影，已静静立在陆灵霜身旁。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一手撑伞，玄衣如墨。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,在其右手，一滴血珠从指尖缓缓滑落。,13,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,细雨纷纷，打湿地面。,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,那些少年少女都被惊到。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,李拓乃是天河学府最年轻的教习之一，年仅十八岁，便已拥有紫府二炼修为。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一手家传的“紫血剑诀”修炼得炉火纯青，在整个天河郡城年轻一代都极有名气。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,谁能想到，身为教习的李拓，会刹那间被击飞？
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“那家伙是谁？为何从没有见过？”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“在学府中打伤教习，这可是大罪！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,……窃窃私语声响起。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,那些少年少女年龄都还小，虽然对陆夜的事迹了如指掌，却不曾亲眼见过陆夜，一时间，都不曾认出来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“哥！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,而当看清救自己的人时，陆灵霜的眼睛一下子红了，她攥住陆夜袖角，指尖因用力泛白，眼泪在眼眶打转。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜一阵疼惜，安抚道：“别怕，有哥在。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,陆灵霜嗯了一声，记得小时候只要自己受欺负，陆夜哥绝对会第一时间给自己撑腰。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,此时此刻，一如从前。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“是哪个混账，竟敢偷袭老子？”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,远处，李拓艰难爬起身，满脸铁青，怒火中烧。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,雨势变大，模糊了他的视野，再加上有油纸伞遮挡，让他一时没有认出陆夜。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“拿着。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜把手中油纸伞递给陆灵霜。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,而后纵身一掠，朝李拓冲去。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,数丈之地，瞬息而至。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“还敢行凶！？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,李拓一声低吼，气息暴涨，一道紫色神虹流转而出，衍化为一把长剑，怒斩而出。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,化气为兵！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这是紫府境修者才能掌握的力量神通。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜不慌不忙，丹田内混洞漩涡骤转，一缕淡青真元缠绕指尖，如一抹璀璨星火跃动，轻描淡写拂过剑锋。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,咔嚓！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,紫色长剑如琉璃崩碎。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,李拓虎口炸裂，鲜血溅上脸颊。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,未等他反应，陆夜五指如印，一掌把李拓镇压于地。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,砰！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,地面雨水迸溅。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,李拓发出惨叫，身影颤抖，唇中血流不止。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“陆夜！怎么是你？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这一刹，李拓终于看清陆夜容貌，瞳孔骤缩，喉间发出嗬嗬气音，似被掐住脖子的鹅。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这个名字宛如有魔力，远处观望的那些少年少女皆瞪大眼睛，恍然明白过来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,原来，那家伙就是陆夜！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,雨水如倾泄的密集鼓点，敲击在每个人心头，让人们情不自禁回想起那个少年传奇的过往。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“我怎么看你有些眼熟？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,陆夜负手于背，俯视瘫在地上的李拓，“我们以前认识？”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“你不记得我了？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,李拓错愕。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,六年前，学府东院“甲字班”的魁首之争还历历在目——
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,他苦练多年的“紫血剑诀”，却被年仅十一岁的陆夜用一截柳枝轻松碾压。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,那一战让他沦为天河学府的笑柄，视作奇耻大辱。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,而如今，再次相见时，陆夜竟然想不起他是谁了！,4,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜认真思忖半晌，摇了摇头，“真想不起来了。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,李拓像受到莫大羞辱，气得面颊涨红，咬牙道，“多少年了，你还是这么目中无人！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜想起一些往事。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,当初在天河学府修行时，他痴心修炼，摒弃一切交际，哪怕有空闲时间，也是翘课回家，闭门修行，从不外出。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,也因此，当初的他被视作“卷王”！,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,卷王不可怕，可怕的是，作为卷王的陆夜，天资和禀赋还都强得令人绝望。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,别人发愤图强刻苦努力地卷，是为了以后出人头地。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜卷，则仅仅只是痴迷于修行带来的感受。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,不过，凡事有利有弊，也因为当初太卷了，陆夜在天河学府上了五年学，可朋友却屈指可数。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“我并非目中无人，而是你太弱了。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,陆夜语气随意，“虽然我没认出你，但却敢肯定，哪怕换做三年前的我，照样能轻松把现在的你镇压，对否？”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,李拓：“……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,他面容发僵，羞愤欲死，却无力反驳。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,因为陆夜说的是事实。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,三年前的陆夜，已经是整个大乾最年轻的武道状元，未曾踏入紫府境，就已拥有镇压紫府三炼强者的逆天战绩！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“不对！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,李拓猛地激动道，“传言说，你昏睡三年，修为早已衰弱严重，大不如前，却为何还这么……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜点头道：“传闻是真的，如今的我是引灵六重境修为，修为跌了三个层次。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这是真的？
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,可李拓却一点高兴不起来，反而胸口发闷。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,修为跌落，都还能轻松把自己镇压，这他妈也太羞辱人！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“说说吧，首席长老李长峰为何要安排你毁掉那座石碑？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜谈起正事。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,他在意的，不是石碑上那些由自己创造的荣誉记录，而是这件事本身很蹊跷。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“我不知道。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,李拓面颊扭曲，愤怒道，“我只知道，你擅自殴打教习，已触犯学府规矩，必将遭受严惩！”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,喀嚓！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜踩在李拓右手，将其手骨碾碎，血肉模糊，疼得眼泪都快流下来。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,李拓面颊扭曲，可依旧发狠道：“有种你继续，折磨我越狠，你遭受的惩罚就越严重！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,锵！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一把漆黑如墨的长刀出现在陆夜掌间，手腕一转，刀尖便抵在李拓咽喉前。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“折磨多无趣，不回答，我就杀了你。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜淡淡道。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“你……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,李拓浑身发僵，瞪大眼睛，“你还想杀人？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,雨水湿寒，却抵不过刀锋抵喉的冰冷，当触碰到陆夜那毫无波澜的幽邃眼眸，更是让李拓浑身炸毛。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这眼神他太熟悉了。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,数年前，陆夜在学府考核中斩杀一头妖虎时，便是这般淡漠如看死物的目光。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这也让李拓意识到，只要自己不配合，这家伙真的敢杀人！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,最终，李拓低头了，颓然道：“我真没有撒谎，首席长老只说，这座石碑有碍观瞻，需要移除，于是我便自告奋勇，接下了这个任务。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“至于具体原因，我也不清楚。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,刚说到这，李拓咽喉一痛，原来是刀锋切开了肌肤血肉，一股鲜血随之流通而出。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“我发誓，所言句句属实！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,李拓吓得脸颊惨白，尖叫道，“对了，首席大长老还下达一道命令，要在今日把所有在学府中修行的陆家子弟全部驱逐！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜道：“驱逐？为何？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,李拓的语速因恐惧变得尖利：“据说陆家牵扯的风波太大，首席长老为避免陆家的灾祸殃及学府，才做出如此决断。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜一声冷笑。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,什么为学府着想，分明是借着这个幌子，故意针对陆家子弟！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,天河学府是大乾官方所设，只要成为其中一员，就能得到大乾官方庇护。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,如此一来，那些敌人要对付在天河学府修行的陆家子弟，自然投鼠忌器，不敢乱来。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,而只要没了这层身份，那些敌人自然无所忌惮！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“看来，那些“外患”已开始行动了……”,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜敏锐嗅到了一丝风雨欲来的气息。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,他再问道：“你刚才要把灵霜带走，就是为了此事？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“不错。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“你要把灵霜带往何处？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“刑律堂。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“你跟我去走一趟。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆夜收起长刀，幽邃的眼眸望向天穹。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,轰！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一道炫亮银白闪电划破厚重云层，随即雷声大作，雨水骤急。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,天地间雨幕重重，一片晦暗。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,远处一座古老建筑的屋檐之上。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一个身影纤秀的少女笼罩在雨幕中。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,随着天穹闪电出现，少女那一袭独属于缉妖司的宽大衣袍被照亮一瞬。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一缕透着恼恨意味的自语声，随之在少女唇边传出：
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“陆夜这可恶之极、无耻之极、讨厌之极、好色之极、不要脸之极的家伙……竟然真的活过来了！”,7,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,刑律堂。,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,大殿外雨水滂沱，殿内灯火烛照。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,两侧黑铁刑架上，残留干涸血渍，墙壁刻满《大乾律令》，字迹如刀。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“奉首席长老旨意，自今日起，革除陆家所有子弟学籍，收回学子铭牌，驱逐出学府！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“自此以后，尔等和我天河学府再无关系！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊那威严的声音，在刑律堂内响起。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,他年纪轻轻已是刑律堂的一位执事，紫府四炼修为，负责天河学府中的刑罚考核之事。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,大殿内，三十五个陆家子弟就像待宰羔羊。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“被驱逐？怎么会这样……”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,有人难以接受，惊慌失措。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,“这一道旨意，分明就是在针对我们陆家！”,2,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,有人悲愤，咬牙切齿。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“都闭嘴！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,蓦地，陆平站出来，喝斥了其他人一句。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,作为陆家子弟，陆平天资聪颖，沉稳老练，在一众陆家子弟中素有威望。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,随着他站出来，陆家子弟皆强忍着怒火，默不作声。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆平朝韩山鹊作揖见礼，低声道：“姐夫，我们未曾触犯学府中的任何规矩，为何要将我等驱逐？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“唉，不要再叫我姐夫了。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊一脸愧疚，苦涩摇头道：“到了此时，我也不瞒你们，昨晚我已经用一纸休书把妻子陆晴珂休掉，轰出家门，自此以后，我韩山鹊和你们陆家再无任何关系了。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,什么？
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆平等人惊愕，难以置信。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊出身贫寒，因为在天河学府修行刻苦，表现不凡，讨得陆平堂姐陆晴珂的芳心，在三年前和陆晴珂成婚。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,过往三年，在陆家扶持下，韩山鹊声名鹊起，年纪轻轻便当上天河学府刑律堂执事。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,可谁能想到，自家这位“姑爷”，竟会是个薄情寡义的白眼狼？,1,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“好你个韩山鹊，当年的你何等贫寒卑微，我陆家可曾因此亏待过你？”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆平眼睛发红，怒道，“可你倒好，眼见我陆家遭逢大难，就立刻跳反，和我陆家做切割，简直畜生不如！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,韩山鹊神色愈发惭愧，长叹道：“你们陆家要完了，而我不想被牵累，只能良禽择木而栖。”,3,
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆平气得直咬牙，可最终还是忍住。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊这次跳反，已表明今天的事情不可能善了！
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“我们要见府主大人，当面问个清楚！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,陆平深呼吸一口气，沉声道：“天河学府是大乾朝廷所设，而今却被首席长老公器私用，故意针对我陆家子弟，我就不信，府主大人会坐视不管！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“还不明白么。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,韩山鹊语重心长道，“首席长老既然这么做，自然早已得到府主大人默许。”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,一下子，陆平和陆家众人如遭雷击，手脚发凉。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这一场针对他们的迫害，主谋竟然是府主？
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“诸位莫要怪我无情，我也是……身不由己啊！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,说着，韩山鹊脸上的愧色消失，眼神骤然变得冷厉，下令道，“来人，把他们身上的学子服扒了，学子铭牌收回！就地擒下！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,“是！”
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,守在大殿四周的一群刑律堂护卫悍然出击。
,,【ps：新书来了！诸君，好久不见，见棺发财！】,,,这些护卫腰间缠着沾有血渍的荆棘铁鞭，身经百战，出手狠辣迅疾。
